month_day,historic_norm_c,sample_count,reference_period
07-17,20.8,930,1961-1990
07-18,20.81,930,1961-1990
07-19,20.86,930,1961-1990
07-20,20.92,930,1961-1990
07-21,20.93,930,1961-1990
07-22,20.97,930,1961-1990
07-23,20.97,930,1961-1990
07-24,20.97,930,1961-1990
07-25,20.97,930,1961-1990
07-26,20.98,930,1961-1990
07-27,20.97,930,1961-1990
07-28,20.96,930,1961-1990
07-29,20.98,930,1961-1990
07-30,21.02,930,1961-1990
07-31,21.04,930,1961-1990
08-01,21.06,930,1961-1990
08-02,21.08,930,1961-1990
08-03,21.09,930,1961-1990
08-04,21.11,930,1961-1990
08-05,21.13,930,1961-1990
08-06,21.13,930,1961-1990
08-07,21.1,930,1961-1990
08-08,21.06,930,1961-1990
08-09,21.03,930,1961-1990
08-10,21.0,930,1961-1990
08-11,20.99,930,1961-1990
08-12,20.96,930,1961-1990
08-13,20.92,930,1961-1990
08-14,20.88,930,1961-1990
08-15,20.81,930,1961-1990
08-16,20.71,930,1961-1990
08-17,20.64,930,1961-1990
08-18,20.58,930,1961-1990
08-19,20.49,930,1961-1990
08-20,20.4,930,1961-1990
08-21,20.32,930,1961-1990
08-22,20.21,930,1961-1990
08-23,20.13,930,1961-1990
08-24,20.07,930,1961-1990
08-25,19.99,930,1961-1990
08-26,19.9,930,1961-1990
08-27,19.82,930,1961-1990
08-28,19.73,930,1961-1990
08-29,19.59,930,1961-1990
08-30,19.44,930,1961-1990
08-31,19.34,930,1961-1990
09-01,19.23,930,1961-1990
09-02,19.16,930,1961-1990
09-03,19.07,930,1961-1990
09-04,18.98,930,1961-1990
09-05,18.88,930,1961-1990
09-06,18.8,930,1961-1990
09-07,18.72,930,1961-1990
09-08,18.64,930,1961-1990
09-09,18.56,930,1961-1990
09-10,18.47,930,1961-1990
09-11,18.37,930,1961-1990
09-12,18.28,930,1961-1990
09-13,18.18,930,1961-1990
09-14,18.06,930,1961-1990
09-15,17.93,930,1961-1990
09-16,17.84,930,1961-1990
09-17,17.72,930,1961-1990
09-18,17.61,930,1961-1990
09-19,17.51,930,1961-1990
09-20,17.43,930,1961-1990
09-21,17.33,930,1961-1990
09-22,17.24,930,1961-1990
09-23,17.12,930,1961-1990
09-24,16.99,930,1961-1990
09-25,16.89,930,1961-1990
09-26,16.76,930,1961-1990
09-27,16.63,930,1961-1990
09-28,16.49,930,1961-1990
09-29,16.37,930,1961-1990
09-30,16.22,930,1961-1990
10-01,16.08,930,1961-1990
10-02,15.94,930,1961-1990
10-03,15.78,930,1961-1990
10-04,15.64,930,1961-1990
10-05,15.48,930,1961-1990
10-06,15.32,930,1961-1990
10-07,15.17,930,1961-1990
10-08,15.03,930,1961-1990
10-09,14.88,930,1961-1990
10-10,14.72,930,1961-1990
10-11,14.57,930,1961-1990
10-12,14.4,930,1961-1990
10-13,14.21,930,1961-1990
10-14,14.01,930,1961-1990
10-15,13.81,930,1961-1990
10-16,13.64,930,1961-1990
10-17,13.49,930,1961-1990
10-18,13.33,930,1961-1990
10-19,13.12,930,1961-1990
10-20,12.9,930,1961-1990
10-21,12.68,930,1961-1990
10-22,12.44,930,1961-1990
10-23,12.22,930,1961-1990
10-24,12.05,930,1961-1990
10-25,11.88,930,1961-1990
10-26,11.69,930,1961-1990
10-27,11.51,930,1961-1990
10-28,11.33,930,1961-1990
10-29,11.13,930,1961-1990
10-30,10.94,930,1961-1990
10-31,10.76,930,1961-1990
11-01,10.56,930,1961-1990
11-02,10.37,930,1961-1990
11-03,10.21,930,1961-1990
11-04,10.03,930,1961-1990
11-05,9.86,930,1961-1990
11-06,9.66,930,1961-1990
11-07,9.47,930,1961-1990
11-08,9.27,930,1961-1990
11-09,9.09,930,1961-1990
11-10,8.9,930,1961-1990
11-11,8.72,930,1961-1990
11-12,8.55,930,1961-1990
11-13,8.36,930,1961-1990
11-14,8.19,930,1961-1990
11-15,8.03,930,1961-1990
11-16,7.84,930,1961-1990
11-17,7.65,930,1961-1990
11-18,7.48,930,1961-1990
11-19,7.36,930,1961-1990
11-20,7.26,930,1961-1990
11-21,7.15,930,1961-1990
11-22,7.04,930,1961-1990
11-23,6.92,930,1961-1990
11-24,6.78,930,1961-1990
11-25,6.63,930,1961-1990
11-26,6.49,930,1961-1990
11-27,6.36,930,1961-1990
11-28,6.24,930,1961-1990
11-29,6.16,930,1961-1990
11-30,6.09,930,1961-1990
12-01,6.01,930,1961-1990
12-02,5.92,930,1961-1990
12-03,5.84,930,1961-1990
12-04,5.73,930,1961-1990
12-05,5.61,930,1961-1990
12-06,5.53,930,1961-1990
12-07,5.49,930,1961-1990
12-08,5.42,930,1961-1990
12-09,5.35,930,1961-1990
12-10,5.28,930,1961-1990
12-11,5.22,930,1961-1990
12-12,5.15,930,1961-1990
12-13,5.06,930,1961-1990
12-14,5.0,930,1961-1990
12-15,4.94,930,1961-1990
12-16,4.9,930,1961-1990
12-17,4.84,930,1961-1990
12-18,4.81,930,1961-1990
12-19,4.76,930,1961-1990
12-20,4.67,930,1961-1990
12-21,4.58,930,1961-1990
12-22,4.51,930,1961-1990
12-23,4.43,930,1961-1990
12-24,4.34,930,1961-1990
12-25,4.29,930,1961-1990
12-26,4.24,930,1961-1990
12-27,4.21,930,1961-1990
12-28,4.15,930,1961-1990
12-29,4.08,930,1961-1990
12-30,4.05,930,1961-1990
12-31,4.0,930,1961-1990
